,acousticness,analysis_url,danceability,duration_ms,energy,id,indicator,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.0291,https://api.spotify.com/v1/audio-analysis/3bidbhpOYeV4knp8AIu8Xn,0.641,258343,0.922,3bidbhpOYeV4knp8AIu8Xn,1.0,0.0,2,0.0862,-4.457,1,0.0786,146.078,4,https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn,audio_features,spotify:track:3bidbhpOYeV4knp8AIu8Xn,0.847
1,0.0619,https://api.spotify.com/v1/audio-analysis/3AYcyxEACnmE6d96RPubID,0.781,235613,0.526,3AYcyxEACnmE6d96RPubID,1.0,0.0,6,0.0457,-6.985,0,0.293,94.992,4,https://api.spotify.com/v1/tracks/3AYcyxEACnmE6d96RPubID,audio_features,spotify:track:3AYcyxEACnmE6d96RPubID,0.662
2,0.0916,https://api.spotify.com/v1/audio-analysis/5pfJsMwoRYKampPay8amX0,0.828,292593,0.609,5pfJsMwoRYKampPay8amX0,1.0,1.21e-06,1,0.291,-4.402,1,0.0694,109.725,4,https://api.spotify.com/v1/tracks/5pfJsMwoRYKampPay8amX0,audio_features,spotify:track:5pfJsMwoRYKampPay8amX0,0.707
3,0.716,https://api.spotify.com/v1/audio-analysis/01uqI4H13Gsd8Lyl1EYd8H,0.688,318525,0.473,01uqI4H13Gsd8Lyl1EYd8H,1.0,4.46e-05,8,0.104,-9.059,1,0.167,84.958,4,https://api.spotify.com/v1/tracks/01uqI4H13Gsd8Lyl1EYd8H,audio_features,spotify:track:01uqI4H13Gsd8Lyl1EYd8H,0.299
4,0.353,https://api.spotify.com/v1/audio-analysis/5n5uyFpfopa4mNdSN0gTaH,0.4,298641,0.602,5n5uyFpfopa4mNdSN0gTaH,1.0,0.0,7,0.191,-6.988,0,0.197,74.142,4,https://api.spotify.com/v1/tracks/5n5uyFpfopa4mNdSN0gTaH,audio_features,spotify:track:5n5uyFpfopa4mNdSN0gTaH,0.0964
5,0.0541,https://api.spotify.com/v1/audio-analysis/3TKt9EoDMmKvNYpk1e6GkI,0.767,220319,0.782,3TKt9EoDMmKvNYpk1e6GkI,1.0,0.0,7,0.338,-5.545,1,0.14,116.491,4,https://api.spotify.com/v1/tracks/3TKt9EoDMmKvNYpk1e6GkI,audio_features,spotify:track:3TKt9EoDMmKvNYpk1e6GkI,0.827
6,0.175,https://api.spotify.com/v1/audio-analysis/4fgkGLPCFDVFMQfuGIaPpA,0.762,305240,0.548,4fgkGLPCFDVFMQfuGIaPpA,1.0,0.0,9,0.114,-7.072,1,0.286,85.131,4,https://api.spotify.com/v1/tracks/4fgkGLPCFDVFMQfuGIaPpA,audio_features,spotify:track:4fgkGLPCFDVFMQfuGIaPpA,0.468
7,0.0411,https://api.spotify.com/v1/audio-analysis/7pDxNYVQLKzrbkCe8OCag3,0.77,229680,0.818,7pDxNYVQLKzrbkCe8OCag3,1.0,0.000127,7,0.164,-3.914,1,0.0533,120.979,4,https://api.spotify.com/v1/tracks/7pDxNYVQLKzrbkCe8OCag3,audio_features,spotify:track:7pDxNYVQLKzrbkCe8OCag3,0.459
8,0.523,https://api.spotify.com/v1/audio-analysis/3JIqogHHQIQW1uJ5Yivb88,0.612,346164,0.568,3JIqogHHQIQW1uJ5Yivb88,1.0,0.0,4,0.217,-8.555,0,0.0743,116.247,4,https://api.spotify.com/v1/tracks/3JIqogHHQIQW1uJ5Yivb88,audio_features,spotify:track:3JIqogHHQIQW1uJ5Yivb88,0.23
9,0.402,https://api.spotify.com/v1/audio-analysis/1OsjZeUg7cGuiCr4E8schs,0.603,232000,0.49,1OsjZeUg7cGuiCr4E8schs,1.0,4.04e-06,6,0.125,-8.58,1,0.129,85.876,4,https://api.spotify.com/v1/tracks/1OsjZeUg7cGuiCr4E8schs,audio_features,spotify:track:1OsjZeUg7cGuiCr4E8schs,0.331
